iter	MultiClass
0	1.481527987
1	1.37392555
2	1.293478958
3	1.224020521
4	1.160592061
5	1.110467386
6	1.064040477
7	1.023236141
8	0.98469623
9	0.9475145925
10	0.9163581274
11	0.8905854855
12	0.8622026729
13	0.8411339089
14	0.8183616941
15	0.7948653374
16	0.7741655573
17	0.7599260205
18	0.7408260808
19	0.7247923448
20	0.7106657669
21	0.6948876412
22	0.6791366906
23	0.6671549545
24	0.6559360977
25	0.6423827107
26	0.6319296929
27	0.6224531883
28	0.6138260771
29	0.6033298999
30	0.5943829377
31	0.58651193
32	0.5792158264
33	0.5695398302
34	0.5630177262
35	0.556215581
36	0.5472077088
37	0.5412558115
38	0.5346333613
39	0.5269240076
40	0.5187511933
41	0.5120366657
42	0.5062382793
43	0.5001734943
44	0.4943432603
45	0.489267348
46	0.4832038881
47	0.4803419882
48	0.4762889123
49	0.4720669887
50	0.4681843395
51	0.464814768
52	0.4598968112
53	0.4570999244
54	0.4536171067
55	0.4508102909
56	0.4466262296
57	0.4429887204
58	0.4398330439
59	0.4363674182
60	0.4325561863
61	0.4282889084
62	0.4241023619
63	0.4206554467
64	0.417728344
65	0.414671342
66	0.41022331
67	0.4066714392
68	0.4045143841
69	0.4010160351
70	0.3991081284
71	0.3967609609
72	0.3937637497
73	0.391602414
74	0.3888582681
75	0.3856136401
76	0.3832794128
77	0.3803445993
78	0.3792118983
79	0.3775766175
80	0.3760047866
81	0.3750089365
82	0.372879302
83	0.3694949759
84	0.3682062874
85	0.3660886987
86	0.3644066336
87	0.3618833524
88	0.3603742319
89	0.3578991136
90	0.3560126488
91	0.3538067333
92	0.3514136332
93	0.3492504204
94	0.347749473
95	0.3467328778
96	0.3453128538
97	0.3434576509
98	0.3410999153
99	0.3391423461
100	0.3370220592
101	0.3356164542
102	0.3333491627
103	0.3309763687
104	0.3298655573
105	0.328550237
106	0.3262623887
107	0.3247398943
108	0.3228910047
109	0.3215553627
110	0.3194988139
111	0.3179814365
112	0.3167350752
113	0.3152545546
114	0.3145107547
115	0.3123819377
116	0.311283307
117	0.30996158
118	0.3082492355
119	0.3075100866
120	0.3068895458
121	0.3056992481
