iter	Passed	Remaining
0	1628	1627118
1	3041	1517496
2	4448	1478268
3	5957	1483479
4	7296	1452093
5	8585	1422328
6	9823	1393535
7	11096	1375955
8	12372	1362399
9	13632	1349605
10	14869	1336906
11	16125	1327626
12	17368	1318702
13	18627	1311906
14	19880	1305465
15	21200	1303840
16	22455	1298469
17	23680	1291908
18	24917	1286554
19	26151	1281428
20	27368	1275903
21	28700	1275880
22	29985	1273726
23	31234	1270218
24	32440	1265196
25	33674	1261490
26	34903	1257820
27	36141	1254635
28	37356	1250797
29	38565	1246941
30	39788	1243724
31	41036	1241347
32	42258	1238299
33	43506	1236104
34	44725	1233157
35	46028	1232538
36	47281	1230602
37	48515	1228206
38	49731	1225438
39	50965	1223181
40	52240	1221917
41	53478	1219823
42	54673	1216793
43	55878	1214081
44	57080	1211380
45	58325	1209624
46	59557	1207615
47	60762	1205127
48	61954	1202417
49	63215	1201094
50	64458	1199429
51	65676	1197324
52	66869	1194821
53	68158	1194040
54	69369	1191895
55	70577	1189733
56	71769	1187340
57	72960	1184979
58	74167	1182904
59	75365	1180725
60	76591	1179012
61	77794	1176962
62	78988	1174794
63	80307	1174490
64	81523	1172680
65	82904	1173217
66	84137	1171652
67	85399	1170475
68	86624	1168799
69	87840	1167025
70	89032	1164950
71	90268	1163456
72	91514	1162109
73	92740	1160510
74	93969	1158955
75	95224	1157724
76	96506	1156819
77	97726	1155172
78	98931	1153367
79	100165	1151898
80	101367	1150077
81	102568	1148270
82	103780	1146583
83	105066	1145729
84	106259	1143857
85	107449	1141967
86	108670	1140420
87	109889	1138858
88	111087	1137091
89	112294	1135425
90	113525	1134012
91	114812	1133153
92	116030	1131613
93	117253	1130128
94	118466	1128546
95	119713	1127302
96	121187	1128168
97	122650	1128889
98	124129	1129701
99	125573	1130160
100	126932	1129826
101	128195	1128620
102	129385	1126783
103	130587	1125065
104	131784	1123302
105	132986	1121606
106	134298	1120830
107	135500	1119132
108	136709	1117505
109	137906	1115788
110	139114	1114167
111	140396	1113141
112	141631	1111741
113	142812	1109925
114	143998	1108159
115	145199	1106521
116	146475	1105454
117	147695	1103963
118	148939	1102655
119	150135	1100991
120	151324	1099294
121	152524	1097673
122	153725	1096074
123	154910	1094369
124	156110	1092775
125	157313	1091209
126	158500	1089533
127	159709	1088022
128	160895	1086354
129	162094	1084783
130	163280	1083133
131	164477	1081565
132	165692	1080113
133	166911	1078698
134	168108	1077142
135	169290	1075491
136	170490	1073964
137	171699	1072502
138	172891	1070931
139	174090	1069411
140	175363	1068347
141	176554	1066786
142	177852	1065871
143	179052	1064366
144	180268	1062964
145	181463	1061437
146	182670	1059983
147	183879	1058548
148	185105	1057211
149	186306	1055736
150	187512	1054292
151	188716	1052836
152	189925	1051416
153	191111	1049872
154	192311	1048406
155	193506	1046919
156	194751	1045706
157	195998	1044497
158	197202	1043062
159	198392	1041562
160	199601	1040160
161	200791	1038662
162	202008	1037305
163	203208	1035870
164	204518	1034986
165	205700	1033456
166	206907	1032060
167	208093	1030560
168	209284	1029087
169	210494	1027709
170	211681	1026222
171	212877	1024781
172	214085	1023403
173	215297	1022044
174	216505	1020670
175	217704	1019250
176	218898	1017815
177	220096	1016399
178	221290	1014970
179	222483	1013535
180	223673	1012093
181	224962	1011096
182	226175	1009757
183	227363	1008308
184	228554	1006873
185	229753	1005481
186	230973	1004177
187	232157	1002722
188	233336	1001247
189	234516	999780
190	235716	998402
191	236909	996995
192	238090	995538
193	239285	994146
194	240508	992868
195	241694	991439
196	242962	990348
197	244164	988988
198	245454	987985
199	246670	986681
200	247852	985244
201	249034	983809
202	250265	982567
203	251486	981292
204	252670	979867
205	253862	978478
206	255063	977127
207	256269	975796
208	257448	974362
209	258724	973298
210	259910	971893
211	261128	970610
212	262323	969242
213	263556	968015
214	264754	966660
215	265952	965310
216	267168	964021
217	268353	962624
218	269604	961464
219	270797	960100
220	272002	958777
221	273283	957722
222	274477	956363
223	275667	954989
224	276851	953599
225	278081	952366
226	279286	951050
227	280483	949708
228	281676	948351
229	282862	946973
230	284046	945592
231	285262	944316
232	286548	943273
233	287726	941873
234	288896	940451
235	290076	939060
236	291263	937695
237	292449	936331
238	293648	935007
239	294840	933661
240	296032	932318
241	297233	931004
242	298429	929676
243	299612	928307
244	300830	927048
245	302019	925702
246	303211	924365
247	304392	922995
248	305613	921750
249	306818	920455
250	308015	919138
251	309202	917790
252	310395	916464
253	311663	915359
254	312849	914012
255	314031	912653
256	315232	911352
257	316455	910115
258	317640	908770
259	318832	907446
260	320231	906709
261	321679	906105
262	322972	905059
263	324352	904255
264	325573	903006
265	326861	901940
266	328260	901179
267	329748	900657
268	331198	900023
269	332620	899308
270	334114	898780
271	335538	898057
272	336740	896740
273	337980	895525
274	339224	894319
275	340448	893060
276	341633	891700
277	342826	890362
278	344127	889304
279	345313	887948
280	346513	886630
281	347689	885252
282	348882	883918
283	350069	882569
284	351272	881262
285	352460	879919
286	353674	878641
287	354867	877310
288	356053	875965
289	357249	874644
290	358460	873362
291	359686	872117
292	360902	870846
293	362083	869492
294	363295	868214
295	364477	866865
296	365678	865563
297	366888	864280
298	368097	862996
299	369309	861721
300	370517	860437
301	371698	859090
302	372916	857830
303	374101	856495
304	375378	855371
305	376564	854037
306	377753	852712
307	378977	851467
308	380162	850137
309	381363	848840
310	382591	847606
311	383832	846400
312	385114	845282
313	386317	843993
314	387512	842686
315	388701	841366
316	389888	840043
317	391289	839179
318	392759	838461
319	394189	837653
320	395612	836824
321	397123	836178
322	398583	835420
323	399846	834247
324	401186	833234
325	402455	832070
326	403665	830785
327	404921	829595
328	406263	828579
329	407773	827904
330	409164	826982
331	410351	825646
332	411550	824336
333	412737	823002
334	414037	821894
335	415488	821084
336	416851	820095
337	418048	818781
338	419425	817817
339	420739	816729
340	422022	815580
341	423215	814256
342	424434	812984
343	425635	811677
344	426830	810359
345	428025	809042
346	429281	807841
347	430491	806552
348	431719	805299
349	432923	804000
350	434128	802704
351	435325	801394
352	436533	800105
353	437716	798770
354	439080	797766
355	440294	796487
356	441504	795203
357	442712	793915
358	443904	792597
359	445119	791322
360	446308	790002
361	447490	788670
362	448680	787353
363	449905	786099
364	451091	784775
365	452279	783456
366	453463	782132
367	454776	781029
368	455962	779707
369	457158	778404
370	458357	777107
371	459543	775788
372	460750	774505
373	461944	773200
374	463133	771889
375	464322	770577
376	465545	769323
377	466745	768030
378	468020	766862
379	469218	765566
380	470406	764255
381	471605	762964
382	472786	761642
383	473983	760348
384	475161	759023
385	476345	757709
386	477536	756407
387	478748	755140
388	479978	753899
389	481171	752601
390	482366	751307
391	483538	749978
392	484749	748710
393	485949	747424
394	487153	746146
395	488343	744846
396	489527	743539
397	490706	742223
398	491915	740955
399	493099	739649
400	494272	738327
401	495450	737013
402	496640	735717
403	497900	734526
404	499167	733344
405	500368	732066
406	501567	730784
407	502766	729503
408	504041	728334
409	505227	727034
410	506528	725900
411	507729	724623
412	508926	723340
413	510114	722045
414	511315	720770
415	512495	719464
416	513665	718146
417	514887	716900
418	516075	715608
419	517257	714308
420	518439	713008
421	519611	711695
422	520789	710391
423	521994	709125
424	523196	707853
425	524387	706569
426	525570	705273
427	526771	704002
428	527962	702718
429	529154	701437
430	530344	700152
431	531532	698866
432	532708	697565
433	533893	696275
434	535144	695072
435	536349	693809
436	537538	692527
437	538923	691495
438	540435	690624
439	541651	689374
440	542850	688102
441	544040	686820
442	545303	685629
443	546486	684339
444	547692	683076
445	548939	681866
446	550145	680605
447	551331	679319
448	552522	678040
449	553695	676738
450	554896	675472
451	556097	674206
452	557284	672923
453	558462	671630
454	559642	670340
455	560846	669080
456	562043	667811
457	563228	666528
458	564405	665235
459	565591	663954
460	566758	662652
461	567963	661395
462	569159	660126
463	570469	658990
464	571683	657743
465	572918	656520
466	574098	655234
467	575309	653984
468	576493	652703
469	577681	651427
470	578873	650157
471	580067	648888
472	581329	647696
473	582517	646422
474	583708	645151
475	584895	643876
476	586074	642593
477	587271	641329
478	588450	640047
479	589729	638873
480	590941	637627
481	592142	636368
482	593322	635088
483	594510	633816
484	595689	632536
485	596894	631283
486	598075	630005
487	599259	628731
488	600533	627551
489	601728	626289
490	602945	625049
491	604136	623783
492	605349	622540
493	606553	621287
494	607744	620022
495	608934	618755
496	610125	617491
497	611319	616229
498	612569	615024
499	613762	613762
500	614958	612503
501	616155	611245
502	617445	610079
503	618630	608811
504	619820	607546
505	621077	606348
506	622268	605085
507	623459	603823
508	624649	602560
509	625834	601291
510	627012	600017
511	628211	598764
512	629399	597500
513	630602	596250
514	631791	594987
515	633090	593829
516	634275	592562
517	635465	591302
518	636651	590037
519	637839	588775
520	639084	587564
521	640424	586442
522	641721	585279
523	642932	584037
524	644121	582777
525	645425	581619
526	646900	580614
527	648399	579630
528	649856	578605
529	651289	577558
530	652667	576461
531	653879	575217
532	655072	573956
533	656312	572736
534	657520	571490
535	658832	570332
536	660095	569132
537	661401	567969
538	662608	566720
539	663798	565457
540	664979	564187
541	666167	562923
542	667376	561677
543	668579	560427
544	669774	559169
545	670965	557909
546	672171	556661
547	673364	555403
548	674544	554133
549	675725	552866
550	676913	551604
551	678088	550332
552	679301	549092
553	680589	547911
554	681776	546649
555	682972	545394
556	684162	544136
557	685338	542866
558	686566	541638
559	687783	540401
560	688983	539150
561	690502	538149
562	691933	537077
563	693389	536024
564	694760	534904
565	696168	533811
566	697796	532885
567	699652	532130
568	701580	531425
569	703240	530514
570	704999	529675
571	706650	528752
572	708401	527901
573	709864	526833
574	711431	525840
575	712900	524774
576	714401	523729
577	715917	522694
578	717510	521713
579	719034	520679
580	720491	519596
581	721941	518507
582	723478	517479
583	724955	516406
584	726562	515425
585	728164	514437
586	729593	513325
587	731092	512262
588	732579	511189
589	734011	510075
590	735454	508969
591	736986	507922
592	738571	506911
593	740188	505920
594	741820	504936
595	743355	503885
596	744939	502865
597	746341	501721
598	747770	500594
599	749210	499473
600	750575	498302
601	751953	497138
602	753476	496070
603	755635	495416
604	757150	494337
605	758522	493164
606	759869	491974
607	761177	490758
608	762517	489563
609	763964	488436
610	765327	487254
611	766752	486110
612	768083	484907
613	769424	483710
614	770756	482505
615	771996	481244
616	773574	480192
617	774870	478965
618	776134	477717
619	777444	476498
620	779481	475722
621	781441	474895
622	782757	473675
623	784106	472474
624	785493	471296
625	786805	470072
626	788003	468780
627	789257	467521
628	790440	466221
629	791617	464918
630	792796	463616
631	794035	462349
632	795404	461158
633	796693	459920
634	798034	458712
635	799292	457456
636	800544	456197
637	801883	454987
638	803126	453722
639	804489	452525
640	805919	451365
641	807883	450502
642	809337	449352
643	810693	448147
644	812391	447130
645	814034	446080
646	815555	444962
647	816996	443800
648	818437	442637
649	820025	441551
650	821536	440424
651	822901	439217
652	824098	437920
653	825281	436616
654	826463	435312
655	827673	434024
656	828996	432794
657	830315	431562
658	831494	430257
659	832724	428979
660	833984	427716
661	835161	426412
662	836433	425155
663	837739	423916
664	839145	422727
665	840391	421457
666	841731	420234
667	843078	419015
668	844399	417782
669	845778	416577
670	847112	415350
671	848296	414049
672	849695	412853
673	851129	411673
674	852445	410436
675	853684	409162
676	855026	407937
677	856326	406692
678	857621	405443
679	859076	404271
680	860440	403054
681	861878	401872
682	863122	400600
683	864429	399356
684	865924	398198
685	867204	396941
686	868804	395830
687	870426	394728
688	872861	393991
689	874581	392928
690	875801	391639
691	876994	390338
692	878182	389036
693	879359	387729
694	880585	386444
695	881890	385193
696	883070	383888
697	884391	382645
698	885989	381520
699	887223	380238
700	888599	379017
701	889897	377762
702	891109	376471
703	892381	375206
704	893678	373950
705	895034	372719
706	896355	371473
707	897747	370257
708	899209	369068
709	900568	367837
710	902008	366639
711	903305	365382
712	904675	364154
713	906059	362931
714	907356	361673
715	908625	360404
716	910003	359178
717	911456	357981
718	913076	356849
719	915300	355950
720	916543	354667
721	917970	353456
722	919322	352216
723	920589	350943
724	921861	349671
725	923074	348377
726	924444	347143
727	925694	345863
728	926887	344563
729	928152	343289
730	929343	341988
731	930525	340684
732	931840	339429
733	933146	338170
734	934547	336945
735	935721	335639
736	937063	334393
737	938268	333098
738	939445	331793
739	940658	330501
740	941951	329238
741	943498	328062
742	944857	326821
743	946238	325587
744	947528	324321
745	948914	323088
746	950687	321986
747	951888	320689
748	953255	319448
749	954522	318174
750	955705	316871
751	956885	315568
752	958065	314265
753	959261	312968
754	960446	311668
755	961621	310364
756	962812	309066
757	964117	307805
758	965315	306510
759	966511	305214
760	967703	303917
761	968931	302632
762	970168	301349
763	971388	300062
764	972614	298777
765	973811	297482
766	975000	296186
767	976235	294904
768	977411	293604
769	978593	292307
770	979783	291012
771	980961	289714
772	982253	288449
773	983440	287154
774	984624	285858
775	985797	284560
776	986976	283263
777	988158	281968
778	989360	280678
779	990540	279383
780	991729	278090
781	992901	276793
782	994078	275498
783	995265	274205
784	996455	272914
785	997645	271623
786	998845	270335
787	1000180	269084
788	1001366	267792
789	1002544	266499
790	1003722	265206
791	1004895	263912
792	1006092	262624
793	1007269	261331
794	1008454	260041
795	1009640	258752
796	1010827	257463
797	1011999	256170
798	1013191	254882
799	1014353	253588
800	1015533	252298
801	1016710	251008
802	1017919	249726
803	1019102	248437
804	1020288	247150
805	1021504	245870
806	1022676	244580
807	1023848	243290
808	1025028	242003
809	1026226	240719
810	1027395	239429
811	1028573	238142
812	1029841	236876
813	1031015	235588
814	1032184	234299
815	1033361	233012
816	1034579	231735
817	1035750	230448
818	1036925	229161
819	1038102	227876
820	1039305	226596
821	1040485	225311
822	1041693	224033
823	1042871	222749
824	1044044	221463
825	1045227	220181
826	1046445	218905
827	1047619	217621
828	1048803	216339
829	1050067	215073
830	1051267	213795
831	1052453	212514
832	1053667	211239
833	1054830	209954
834	1056014	208673
835	1057189	207391
836	1058378	206111
837	1059567	204832
838	1060790	203560
839	1061968	202279
840	1063141	200998
841	1064320	199718
842	1065490	198436
843	1066678	197158
844	1067853	195878
845	1069038	194600
846	1070223	193322
847	1071398	192043
848	1072640	190775
849	1073829	189499
850	1075028	188224
851	1076218	186948
852	1077400	185671
853	1078611	184399
854	1079813	183126
855	1081008	181851
856	1082262	180587
857	1083448	179311
858	1084625	178035
859	1085809	176759
860	1087008	175486
861	1088188	174211
862	1089395	172940
863	1090617	171671
864	1091805	170397
865	1093006	169125
866	1094331	167873
867	1095557	166605
868	1096734	165330
869	1097910	164055
870	1099088	162781
871	1100269	161507
872	1101450	160233
873	1102656	158964
874	1103826	157689
875	1105023	156418
876	1106199	155145
877	1107380	153872
878	1108634	152610
879	1109816	151338
880	1111013	150068
881	1112195	148797
882	1113385	147526
883	1114620	146262
884	1115801	144991
885	1116978	143719
886	1118166	142449
887	1119341	141178
888	1120517	139907
889	1121697	138636
890	1122863	137364
891	1124041	136094
892	1125206	134823
893	1126380	133552
894	1127555	132283
895	1128786	131019
896	1130045	129759
897	1131273	128496
898	1132455	127228
899	1133633	125959
900	1134850	124695
901	1136037	123427
902	1137303	122168
903	1138593	120912
904	1139941	119662
905	1141187	118401
906	1142374	117134
907	1143553	115866
908	1144731	114599
909	1145910	113331
910	1147087	112064
911	1148276	110798
912	1149468	109533
913	1150632	108265
914	1151829	107000
915	1153000	105733
916	1154159	104465
917	1155343	103200
918	1156552	101937
919	1157814	100679
920	1158983	99413
921	1160184	98150
922	1161357	96884
923	1162523	95618
924	1163709	94354
925	1164890	93090
926	1166062	91825
927	1167232	90561
928	1168406	89296
929	1169584	88033
930	1170750	86768
931	1171913	85504
932	1173075	84240
933	1174241	82976
934	1175398	81712
935	1176566	80448
936	1177740	79186
937	1178906	77923
938	1180094	76662
939	1181267	75400
940	1182436	74137
941	1183597	72875
942	1184758	71613
943	1185925	70351
944	1187086	69089
945	1188262	67828
946	1189434	66568
947	1190603	65307
948	1191769	64046
949	1192943	62786
950	1194118	61526
951	1195380	60271
952	1196559	59011
953	1197727	57752
954	1198913	56493
955	1200095	55234
956	1201314	53977
957	1202500	52719
958	1203690	51461
959	1204887	50203
960	1206083	48946
961	1207267	47688
962	1208465	46431
963	1209648	45173
964	1210825	43915
965	1211990	42658
966	1213160	41400
967	1214335	40143
968	1215513	38886
969	1216679	37629
970	1217852	36372
971	1219044	35116
972	1220222	33860
973	1221396	32604
974	1222570	31347
975	1223738	30091
976	1224918	28836
977	1226094	27580
978	1227265	26325
979	1228452	25070
980	1229624	23815
981	1230796	22560
982	1231962	21305
983	1233134	20050
984	1234312	18796
985	1235496	17542
986	1236676	16288
987	1237851	15034
988	1239015	13780
989	1240218	12527
990	1241405	11274
991	1242597	10020
992	1243766	8767
993	1244944	7514
994	1246112	6261
995	1247276	5009
996	1248440	3756
997	1249617	2504
998	1250787	1252
999	1251953	0
